산업,연령,성별,시도,규모,P_F
건설업,20~29세,남자,인천,20~49인,1.232224363400516e-05
건설업,20~29세,남자,인천,300~499인,3.1696031389480665e-05
건설업,20~29세,남자,인천,50~99인,2.774348712750346e-05
건설업,20~29세,남자,인천,5~9인,1.174959287774495e-05
건설업,20~29세,남자,인천,5인 미만,5.506911158397931e-05
건설업,20~29세,남자,전남,100~299인,4.954381482048663e-05
건설업,20~29세,남자,전남,10~19인,1.764725482886805e-05
건설업,20~29세,남자,전남,20~49인,1.7132222690402476e-05
건설업,20~29세,남자,전남,300~499인,4.346505890520289e-05
건설업,20~29세,남자,전남,500~999인,2.5550888417670923e-05
건설업,20~29세,남자,전남,50~99인,2.859484142480597e-05
건설업,20~29세,남자,전남,5~9인,1.7620420891532893e-05
건설업,20~29세,남자,전남,5인 미만,4.835167253876715e-05
건설업,20~29세,남자,전북,100~299인,1.2894219131409252e-05
건설업,20~29세,남자,전북,10~19인,1.3593365644967883e-05
건설업,20~29세,남자,전북,20~49인,1.1333669232582096e-05
건설업,20~29세,남자,전북,50~99인,1.720908989421021e-05
건설업,20~29세,남자,전북,5~9인,1.6421639520060722e-05
건설업,20~29세,남자,전북,5인 미만,4.931978472925246e-05
건설업,20~29세,남자,제주,100~299인,5.336248958297542e-06
건설업,20~29세,남자,제주,10~19인,7.416362804380055e-06
건설업,20~29세,남자,제주,20~49인,4.462840245604049e-06
건설업,20~29세,남자,제주,50~99인,8.545671805560299e-06
건설업,20~29세,남자,제주,5~9인,9.328995384032774e-06
건설업,20~29세,남자,제주,5인 미만,2.6629605067847946e-05
건설업,20~29세,남자,충남,100~299인,3.559682201928895e-05
건설업,20~29세,남자,충남,10~19인,1.6638352883083088e-05
건설업,20~29세,남자,충남,20~49인,1.623925508797248e-05
건설업,20~29세,남자,충남,300~499인,2.4267336256513658e-05
건설업,20~29세,남자,충남,50~99인,1.8347398236302976e-05
건설업,20~29세,남자,충남,5~9인,1.9151355120605946e-05
건설업,20~29세,남자,충남,5인 미만,6.644271251125446e-05
건설업,20~29세,남자,충북,100~299인,1.834942471664676e-05
건설업,20~29세,남자,충북,10~19인,1.5644628346411894e-05
건설업,20~29세,남자,충북,20~49인,1.4987052514765276e-05
건설업,20~29세,남자,충북,300~499인,2.9918979155618108e-05
건설업,20~29세,남자,충북,50~99인,2.1421894849163302e-05
건설업,20~29세,남자,충북,5~9인,1.4839206140341667e-05
건설업,20~29세,남자,충북,5인 미만,4.9584198222653574e-05
건설업,20~29세,여자,강원,100~299인,1.3074630959907901e-06
건설업,20~29세,여자,강원,10~19인,2.0247723347209016e-06
건설업,20~29세,여자,강원,20~49인,1.868262584972815e-06
건설업,20~29세,여자,강원,50~99인,2.863798756809062e-06
건설업,20~29세,여자,강원,5~9인,2.0172738029597237e-06
건설업,20~29세,여자,강원,5인 미만,6.301646876833443e-06
건설업,20~29세,여자,경기,"1,000인 이상",2.0372586973650246e-06
건설업,20~29세,여자,경기,100~299인,3.35418777019059e-05
건설업,20~29세,여자,경기,10~19인,9.52983981565972e-06
건설업,20~29세,여자,경기,20~49인,1.0666666977613873e-05
건설업,20~29세,여자,경기,300~499인,3.165295700711194e-05
건설업,20~29세,여자,경기,500~999인,2.555712372309392e-05
건설업,20~29세,여자,경기,50~99인,2.3432847454176558e-05
건설업,20~29세,여자,경기,5~9인,1.0908527163070757e-05
건설업,20~29세,여자,경기,5인 미만,4.476823602550027e-05
건설업,20~29세,여자,경남,100~299인,4.4364508388112614e-06
건설업,20~29세,여자,경남,10~19인,2.0976171999953724e-06
건설업,20~29세,여자,경남,20~49인,1.9882835406270476e-06
건설업,20~29세,여자,경남,300~499인,1.3800350840332464e-06
건설업,20~29세,여자,경남,50~99인,3.5202820701002565e-06
건설업,20~29세,여자,경남,5~9인,2.519770701407763e-06
건설업,20~29세,여자,경남,5인 미만,8.677282283406612e-06
건설업,20~29세,여자,경북,100~299인,3.546938837892193e-06
건설업,20~29세,여자,경북,10~19인,2.1785515604343227e-06
건설업,20~29세,여자,경북,20~49인,1.7818787815042248e-06
건설업,20~29세,여자,경북,300~499인,1.9734821475722813e-06
건설업,20~29세,여자,경북,50~99인,3.4545877039019426e-06
건설업,20~29세,여자,경북,5~9인,2.7305069024416597e-06
건설업,20~29세,여자,경북,5인 미만,8.844749483466937e-06
건설업,20~29세,여자,광주,100~299인,7.287262833973375e-06
건설업,20~29세,여자,광주,10~19인,1.1819214983531047e-06
건설업,20~29세,여자,광주,20~49인,1.478662880731324e-06
건설업,20~29세,여자,광주,300~499인,6.198455113264502e-06
건설업,20~29세,여자,광주,500~999인,6.396669657146536e-06
건설업,20~29세,여자,광주,50~99인,3.4284383940583447e-06
건설업,20~29세,여자,광주,5~9인,1.3338648752519235e-06
건설업,20~29세,여자,광주,5인 미만,4.669503907974253e-06
건설업,20~29세,여자,대구,100~299인,4.393793598662331e-06
건설업,20~29세,여자,대구,10~19인,1.5466429462148549e-06
건설업,20~29세,여자,대구,20~49인,1.7325594625255825e-06
건설업,20~29세,여자,대구,300~499인,5.780872863305298e-06
건설업,20~29세,여자,대구,500~999인,6.4190254192741285e-06
건설업,20~29세,여자,대구,50~99인,3.433523404543978e-06
건설업,20~29세,여자,대구,5~9인,1.7078780722088811e-06
건설업,20~29세,여자,대구,5인 미만,6.727253186503374e-06
건설업,20~29세,여자,대전,"1,000인 이상",1.7994553732346553e-06
건설업,20~29세,여자,대전,100~299인,5.046114535381573e-06
건설업,20~29세,여자,대전,10~19인,1.0939799220698538e-06
건설업,20~29세,여자,대전,20~49인,1.3711094915938598e-06
건설업,20~29세,여자,대전,300~499인,6.5358125309259354e-06
건설업,20~29세,여자,대전,50~99인,2.9883229834367593e-06
건설업,20~29세,여자,대전,5~9인,1.1773368738684823e-06
건설업,20~29세,여자,대전,5인 미만,4.567547724428269e-06
건설업,20~29세,여자,부산,100~299인,1.0870839590949127e-05
건설업,20~29세,여자,부산,10~19인,2.2348233825403546e-06
건설업,20~29세,여자,부산,20~49인,2.7932603017848034e-06
건설업,20~29세,여자,부산,300~499인,1.0883579783579991e-05
건설업,20~29세,여자,부산,500~999인,1.1010756580360232e-05
건설업,20~29세,여자,부산,50~99인,6.452428276889775e-06
건설업,20~29세,여자,부산,5~9인,2.355580825018086e-06
건설업,20~29세,여자,부산,5인 미만,9.494518951975752e-06
건설업,20~29세,여자,서울,"1,000인 이상",2.1324287228764164e-05
건설업,20~29세,여자,서울,100~299인,3.8384312280631316e-05
