발생형태,건수
떨어짐,507
끼임,434
깔림.뒤집힘,205
물체에맞음,138
부딪힘,103
폭발파열,97
절단베임찔림,68
무너짐,50
화재,49
산소결핍,38
감전,33
넘어짐,33
빠짐익사,30
이상온도물체접촉,24
사업장내교통사고,22
화학물질누출접촉,20
분류불가,5
기타,2
