공종,건수
4. 마감공사,751
12. 공통공사,463
"5. 전기, 기계설비공사",390
2. 철근콘크리트공사,336
3. 철골공사,167
11. 기타 토목공사,157
1. 토공사,153
6. 조경공사,60
7. 도로 및 포장공사,54
9. 터널공사,17
10. 하천 및 항만공사,15
8. 교량공사,11
