baseline_id	industry	size_class	region	accident_count	death_count	serious_ratio	top_accident_type
273	운수창고통신업	50~99인	경남	397	12	0.0302	업무상질병
274	운수창고통신업	50~99인	경북	177	1	0.0056	사업장외교통사고
275	운수창고통신업	50~99인	광주	209	3	0.0144	사업장외교통사고
276	운수창고통신업	50~99인	대구	401	6	0.0150	사업장외교통사고
277	운수창고통신업	50~99인	대전	287	6	0.0209	사업장외교통사고
278	운수창고통신업	50~99인	부산	690	21	0.0304	사업장외교통사고
279	운수창고통신업	50~99인	서울	1369	36	0.0263	사업장외교통사고
280	운수창고통신업	50~99인	울산	296	7	0.0236	사업장외교통사고
281	운수창고통신업	50~99인	인천	499	19	0.0381	넘어짐
282	운수창고통신업	50~99인	전남	244	9	0.0369	떨어짐
283	운수창고통신업	50~99인	전북	220	9	0.0409	사업장외교통사고
284	운수창고통신업	50~99인	제주	56	1	0.0179	넘어짐
285	운수창고통신업	50~99인	충남	231	10	0.0433	사업장외교통사고
286	운수창고통신업	50~99인	충북	163	11	0.0675	사업장외교통사고
287	운수창고통신업	5~9인	강원	141	4	0.0284	사업장외교통사고
288	운수창고통신업	5~9인	경기	1655	21	0.0127	사업장외교통사고
289	운수창고통신업	5~9인	경남	408	5	0.0123	사업장외교통사고
290	운수창고통신업	5~9인	경북	191	4	0.0209	사업장외교통사고
291	운수창고통신업	5~9인	광주	236	10	0.0424	사업장외교통사고
292	운수창고통신업	5~9인	대구	295	4	0.0136	사업장외교통사고
293	운수창고통신업	5~9인	대전	357	8	0.0224	사업장외교통사고
294	운수창고통신업	5~9인	부산	412	12	0.0291	사업장외교통사고
295	운수창고통신업	5~9인	서울	736	12	0.0163	사업장외교통사고
296	운수창고통신업	5~9인	울산	152	3	0.0197	넘어짐
297	운수창고통신업	5~9인	인천	417	7	0.0168	사업장외교통사고
298	운수창고통신업	5~9인	전남	196	5	0.0255	사업장외교통사고
299	운수창고통신업	5~9인	전북	164	7	0.0427	사업장외교통사고
300	운수창고통신업	5~9인	제주	86	2	0.0233	사업장외교통사고
301	운수창고통신업	5~9인	충남	181	9	0.0497	사업장외교통사고
302	운수창고통신업	5~9인	충북	204	3	0.0147	사업장외교통사고
303	운수창고통신업	5인 미만	강원	741	16	0.0216	사업장외교통사고
304	운수창고통신업	5인 미만	경기	12585	108	0.0086	사업장외교통사고
305	운수창고통신업	5인 미만	경남	1964	27	0.0137	사업장외교통사고
306	운수창고통신업	5인 미만	경북	902	22	0.0244	사업장외교통사고
307	운수창고통신업	5인 미만	광주	1348	19	0.0141	사업장외교통사고
308	운수창고통신업	5인 미만	대구	2065	27	0.0131	사업장외교통사고
309	운수창고통신업	5인 미만	대전	2148	22	0.0102	사업장외교통사고
310	운수창고통신업	5인 미만	부산	1788	28	0.0157	사업장외교통사고
311	운수창고통신업	5인 미만	서울	5052	54	0.0107	사업장외교통사고
312	운수창고통신업	5인 미만	울산	1507	22	0.0146	사업장외교통사고
313	운수창고통신업	5인 미만	인천	2741	28	0.0102	사업장외교통사고
314	운수창고통신업	5인 미만	전남	747	29	0.0388	사업장외교통사고
315	운수창고통신업	5인 미만	전북	1104	16	0.0145	사업장외교통사고
316	운수창고통신업	5인 미만	제주	321	6	0.0187	사업장외교통사고
317	운수창고통신업	5인 미만	충남	1078	23	0.0213	사업장외교통사고
318	운수창고통신업	5인 미만	충북	1034	22	0.0213	사업장외교통사고
319	전기가스증기수도사업	1,000인 이상	경남	1	0	0.0000	분류불능
320	전기가스증기수도사업	1,000인 이상	경북	27	1	0.0370	체육행사
321	전기가스증기수도사업	1,000인 이상	광주	17	0	0.0000	체육행사
322	전기가스증기수도사업	1,000인 이상	대구	1	0	0.0000	떨어짐
323	전기가스증기수도사업	1,000인 이상	부산	18	1	0.0556	업무상질병
324	전기가스증기수도사업	1,000인 이상	울산	7	0	0.0000	불균형및무리한동작
325	전기가스증기수도사업	1,000인 이상	충남	11	0	0.0000	넘어짐
326	전기가스증기수도사업	100~299인	강원	41	3	0.0732	업무상질병
327	전기가스증기수도사업	100~299인	경기	14	0	0.0000	불균형및무리한동작
328	전기가스증기수도사업	100~299인	경남	14	0	0.0000	물체에맞음
329	전기가스증기수도사업	100~299인	경북	10	1	0.1000	업무상질병
330	전기가스증기수도사업	100~299인	광주	5	0	0.0000	물체에맞음
331	전기가스증기수도사업	100~299인	대구	16	0	0.0000	이상온도물체접촉
332	전기가스증기수도사업	100~299인	대전	5	2	0.4000	업무상질병
333	전기가스증기수도사업	100~299인	부산	2	0	0.0000	체육행사
334	전기가스증기수도사업	100~299인	서울	14	0	0.0000	체육행사
335	전기가스증기수도사업	100~299인	울산	6	0	0.0000	부딪힘
336	전기가스증기수도사업	100~299인	인천	12	0	0.0000	넘어짐
337	전기가스증기수도사업	100~299인	전남	1	0	0.0000	업무상질병
338	전기가스증기수도사업	100~299인	전북	8	1	0.1250	감전
